mean,sd,lcl,mid,ucl,mode,kld,trnd,lower_ci,upper_ci,post_prob,SpeciesCode,years,period,season,results_code,area_code,site,model_type,trnd_order,analysis_code,species_id,sort_order,english_name,french_name
0.024,0.047,-0.067,0.024,0.116,0.022,0,2.42903178906215,-6.48047986632234,12.2995872133255,0.7053,NSHO,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,O,540,281,Northern Shoveler,Canard souchet
-0.002,0.122,-0.238,-0.006,0.248,-0.012,0,-0.199800133266692,-21.179730890623,28.1459932194021,0.5266,NSHO,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,O,540,281,Northern Shoveler,Canard souchet
0.023,0.069,-0.094,0.015,0.179,0.006,0,2.32665395472176,-8.9717237759233,19.6020744167884,0.6039,NSHO,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,O,540,281,Northern Shoveler,Canard souchet
-0.006,0.031,-0.07,-0.006,0.052,-0.005,0,-0.598203594606472,-6.76061800940517,5.33757425133647,0.5851,GWTE,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,O,590,362,Green-winged Teal,Sarcelle d'hiver
-0.066,0.099,-0.269,-0.066,0.124,-0.065,0,-6.38691357083812,-23.5856744351801,13.2015870999175,0.7799,GWTE,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,O,590,362,Green-winged Teal,Sarcelle d'hiver
-0.029,0.034,-0.098,-0.028,0.036,-0.028,0,-2.85835355333952,-9.33510962460791,3.66558464909237,0.8164,GWTE,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,Poisson,NA,O,590,362,Green-winged Teal,Sarcelle d'hiver
0.083,0.018,0.047,0.083,0.118,0.083,0,8.65418085482381,4.81220090796557,12.5244111367342,1,SUSC,1995-2018,all years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,S,770,458,Surf Scoter,Macreuse à front blanc
-0.007,0.049,-0.104,-0.006,0.085,-0.006,0,-0.697555706676489,-9.87747025787952,8.87170666983987,0.5471,SUSC,2008-2018,10-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,S,770,458,Surf Scoter,Macreuse à front blanc
0.066,0.02,0.027,0.066,0.104,0.066,0,6.82267171659934,2.73678027634894,10.9600454915582,0.9996,SUSC,1998-2018,20-years,Spring,CMMN,LSLBO,LSLBO,NegBinomial,NA,S,770,458,Surf Scoter,Macreuse à front blanc
-0.001,0.066,-0.145,0.002,0.115,0.006,0,-0.0999500166624978,-13.4977706889259,12.1873437571938,0.4999,BUFF,1995-2018,all years,Fall,CMMN,LSLBO,LSLBO,Poisson,NA,O,820,473,Bufflehead,Petit Garrot
